description,original_price,discount,reviews,ratings,sale,soldout,product_price
Mandevu Beard Balm,"KSh1,400.00",20,1 review,5.00,Sale,Available,"KSh1,400.00"
Mandevu Beard Comb,"KSh1,000.00",20,1 review,5.00,Sale,Available,"KSh1,000.00"
Mandevu Round Brush,KSh700.00,20,1 review,5.00,Sale,Available,KSh700.00
Mandevu Beard & Hair Wash,KSh900.00,20,No reviews,0.00,Sale,Available,KSh900.00
Mandevu Wash Bag,"KSh1,000.00",20,1 review,5.00,Sale,Available,"KSh1,000.00"
Mandevu Leather Bag - Brown,"KSh3,000.00",20,1 review,5.00,Sale,Available,"KSh3,000.00"
Nywele Chronicles Myra Bonnet - Green / Yellow Print,KSh950.00,20,No reviews,0.00,Sale,Available,KSh950.00
Mosara Hydrating Butter,,,No reviews,0.00,,Sold out,KSh500.00
Mosara Moisture Rich Conditioner,,,No reviews,0.00,,Available,KSh400.00
Lizola Njema Headbands - Navy Stripes,,,No reviews,0.00,,Available,KSh600.00
Lizola Mbaya Headband - Grey / White Polka,,,No reviews,0.00,,Available,KSh600.00
Lizola Tamu Headband - Green / Yellow / Black Stripes,,,No reviews,0.00,,Available,KSh600.00
Lizola Njema Headband - White / Black Stripes,,,No reviews,0.00,,Available,KSh600.00
Lizola Refu Headband - Black / White Stripes,,,No reviews,0.00,,Available,KSh600.00
Lizola Refu Headband - Black / White Stripes,,,No reviews,0.00,,Available,KSh600.00
Lizola Wale Headband - Green / White Polka,,,No reviews,0.00,,Available,KSh600.00
Lizola Pamoja Headbands - Green / Blue / Grey Stripes,,,No reviews,0.00,,Available,KSh600.00
Lizola Mimi Hairclips Set 5,,,No reviews,0.00,,Available,"KSh1,000.00"
Lizola Penzi Hairclip Set 4,,,No reviews,0.00,,Available,"KSh1,000.00"
